,tweet_id,user_id,tweet_lang,tweet_time,source,tweet_text,quote_count,reply_count,retweet_count,tweet_favorite_count,hashtags,short_urls,expanded_urls,user_mentions,in_reply_to_user_id,in_reply_to_user_name,in_reply_to_status_id,retweet_id,retweet_user_id,retweet_user_name,quote_id,quote_user_id,quote_user_name
0,1438553856288374784,186311240,en,2021-09-16 17:22:21+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Two because of the distraction of impeachment  that it all started to peace together that it was all planed you can… https://t.co/mtyX1mCvre,0,0,0,0,,https://t.co/mtyX1mCvre,https://twitter.com/i/web/status/1438553856288374784,,186311240.0,richtinker,1.43855385410739e+18,,,,,,
1,1438553795579944969,1042538547788447744,en,2021-09-16 17:22:06+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@Carrionflower1 @NewMexicoGOP The GOP don’t care about facts.  Their base is illiterate.  They don’t understand twe… https://t.co/HcXkLK7zv1,0,0,0,0,,https://t.co/HcXkLK7zv1,https://twitter.com/i/web/status/1438553795579944969,1219730589986672641;26598302,1.2197305899866726e+18,Carrionflower1,1.438552051856851e+18,,,,,,
2,1438551507859910663,367297219,en,2021-09-16 17:13:01+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@Agelesschronicl @sfiscience It will depend on emerging covid situation, but right now our campus is open and most… https://t.co/x022aMGEBP",0,0,0,0,,https://t.co/x022aMGEBP,https://twitter.com/i/web/status/1438551507859910663,1480579992;90258002,1480579992.0,Agelesschronicl,1.438548819369599e+18,,,,,,
3,1438548650553118722,16957784,en,2021-09-16 17:01:39+00:00,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Moderna's COVID-19 vaccine's effectiveness wanes over time, company says https://t.co/rEDO1gQ1d6",0,0,1,3,,https://t.co/rEDO1gQ1d6,https://trib.al/qapIZ1a,,,,,,,,,,
4,1438547760286867468,1042538547788447744,en,2021-09-16 16:58:07+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@Laterlaus_26 @Michelle4NM @GavinNewsom Meanwhile here in reality, outside your safespace https://t.co/aBlYU1RdeR",0,0,0,0,,https://t.co/aBlYU1RdeR,https://www.politico.com/news/2021/09/16/newsom-recall-win-covid-restrictions-512132,26042304;368472546;11347122,26042304.0,Laterlaus_26,1.4383055119720366e+18,,,,,,
5,1438544138203373573,1042538547788447744,und,2021-09-16 16:43:44+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@Sevrahn @NICKIMINAJ @NICKIMINAJ is a 🤡 https://t.co/TnZuQfrLfv,0,0,0,0,,https://t.co/TnZuQfrLfv,https://www.complex.com/music/nicki-minaj-responds-to-white-house-saying-they-never-invited-her-following-covid-19-vaccine-comments/,139585220;35787166;35787166,139585220.0,Sevrahn,1.4382603267184517e+18,,,,,,
6,1438543579094396928,2523253652,en,2021-09-16 16:41:30+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","As COVID-19 numbers tick up, some travelers are canceling Balloon Fiesta plans https://t.co/yCC29NPPCK",0,0,0,0,,https://t.co/yCC29NPPCK,https://www.koat.com/article/hotels-experiencing-room-cancellations-during-balloon-fiesta-week/37614294,,,,,,,,,,
7,1438541524686413837,26421673,en,2021-09-16 16:33:20+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@ClayTravis 1 in 500 Americans are dead due to Covid…so there’s that. Wear your damn mask!,0,0,0,1,,,,50772918,50772918.0,ClayTravis,1.438516229715624e+18,,,,,,
8,1438540936909361160,26964222,en,2021-09-16 16:31:00+00:00,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","State sees fewer COVID-19 cases as Delta surge wanes, @fbihop reports https://t.co/DkSRXCTL5E",0,0,0,0,,https://t.co/DkSRXCTL5E,https://nmpoliticalreport.com/2021/09/15/state-sees-fewer-covid-19-cases-as-delta-surge-wanes/,14326865,,,,,,,,,
9,1438540471488319489,1256975102274449411,en,2021-09-16 16:29:09+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hear me out…
So we have a holiday for the 3000 people who passed away on 9/11 

But…
Are we gonna have a holiday fo… https://t.co/y2g62egqcu",0,0,2,3,,https://t.co/y2g62egqcu,https://twitter.com/i/web/status/1438540471488319489,,,,,,,,,,
10,1438540183029358596,26964222,en,2021-09-16 16:28:01+00:00,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","Huge dip in school COVID cases draws cautious optimism, @shaun505 reports https://t.co/EqaLxD5WfN",0,0,0,1,,https://t.co/EqaLxD5WfN,https://sourcenm.com/briefs/huge-dip-in-school-covid-cases-draws-cautious-optimism/,21416651,,,,,,,,,
11,1438538157171961856,1042538547788447744,en,2021-09-16 16:19:58+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@GovernorLittle Leadership matters! https://t.co/AKMM6myM3t,0,0,2,2,,https://t.co/AKMM6myM3t,https://www.nbcnews.com/news/us-news/idaho-declares-statewide-hospital-resource-crisis-covid-surge-rcna1997,41266395,41266395.0,GovernorLittle,1.4385333554908692e+18,,,,,,
12,1438535953761529858,15333539,en,2021-09-16 16:11:12+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@cmamajamas @mischievously Oh no. I hope she's okay. My entire family came down with a horrible cold, but thankfull… https://t.co/0EKEJ8nBE2",0,0,0,2,,https://t.co/0EKEJ8nBE2,https://twitter.com/i/web/status/1438535953761529858,23224320;35911742,23224320.0,cmamajamas,1.4385334507183964e+18,,,,,,
13,1438535368953896962,172176000,es,2021-09-16 16:08:53+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@RevillaguDesign @griselgchavez @DrChavezDiaz Si te da covid atiendete con un profesional por más leves que sean tu… https://t.co/QiqPMpyP4z,0,0,0,0,,https://t.co/QiqPMpyP4z,https://twitter.com/i/web/status/1438535368953896962,94863428;128257844;1116152499063279616,172176000.0,alixpalomec,1.4385341569384612e+18,,,,,,
14,1438534156938461191,172176000,es,2021-09-16 16:04:04+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@RevillaguDesign @griselgchavez @DrChavezDiaz Una referencia muy errónea hacerle creer a la gente que con la vacuna… https://t.co/X9wkE3Dv4F,0,0,0,0,,https://t.co/X9wkE3Dv4F,https://twitter.com/i/web/status/1438534156938461191,94863428;128257844;1116152499063279616,94863428.0,RevillaguDesign,1.4383352172453437e+18,,,,,,
15,1438533977053155337,329962403,en,2021-09-16 16:03:21+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@EarlOfEnough @joncoopertweets Fox wants @POTUS to fail on Covid &amp; the economy so they can claim he is incompetent.… https://t.co/xS8JN2l5ZE,0,0,0,0,,https://t.co/xS8JN2l5ZE,https://twitter.com/i/web/status/1438533977053155337,800463336630403072;27493883;1349149096909668363,8.004633366304031e+17,EarlOfEnough,1.4385090671697183e+18,,,,,,
16,1438532979605729299,23341160,en,2021-09-16 15:59:23+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@Stathies I saw something like that yesterday. I know nothing about states in India, but the total number of people… https://t.co/pxeqSRZ3Sc HUGE: Uttar Pradesh, India Announces State Is COVID-19 Free Proving the Effectiveness of ""Deworming Drug"" IVERMECTIN https://t.co/nvqrRO9VnG",0,0,0,0,,https://t.co/pxeqSRZ3Sc;https://t.co/nvqrRO9VnG,https://twitter.com/i/web/status/1438532979605729299;https://www.thegatewaypundit.com/2021/09/huge-uttar-pradesh-india-announces-state-covid-19-free-proving-effectiveness-deworming-drug-ivermectin/,191567917,191567917.0,Stathies,1.4385302969163653e+18,,,,1.438288672525222e+18,1.2483767154007695e+18,RobertApter1
17,1438529905894072329,6842112,en,2021-09-16 15:47:10+00:00,"<a href=""http://www.socialnewsdesk.com"" rel=""nofollow"">SocialNewsDesk</a>",South Florida landlord requires new tenants and those renewing their leases to be vaccinated https://t.co/ysGWydbIPS,0,0,2,3,,https://t.co/ysGWydbIPS,https://www.koat.com/article/south-florida-landlord-requires-new-tenants-and-those-renewing-their-leases-to-be-vaccinated-against-covid-19/37620951?utm_campaign=snd-autopilot,,,,,,,,,,
18,1438528675259904004,804329083,en,2021-09-16 15:42:17+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@MedicVet68 Found this: https://t.co/SDMR5UurfB which says we’re in good shape.  More antibodies at 8 months than a… https://t.co/DyWBQle0oS,0,0,1,2,,https://t.co/SDMR5UurfB;https://t.co/DyWBQle0oS,https://www.jnj.com/positive-new-data-for-johnson-johnson-single-shot-covid-19-vaccine-on-activity-against-delta-variant-and-long-lasting-durability-of-response;https://twitter.com/i/web/status/1438528675259904004,964190420556279808,804329083.0,pixchips,1.4385268675988234e+18,,,,,,
19,1438526659305476098,892937672213225472,en,2021-09-16 15:34:16+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Our own @ChackLab vaccinologist Bryce Chackerian at UNM!!   The world's best vaccines have given the impression tha… https://t.co/SNwhwt1y4B,0,0,0,2,,https://t.co/SNwhwt1y4B,https://twitter.com/i/web/status/1438526659305476098,953691842016559104,,,,,,,,,
20,1438525690324922368,15907432,en,2021-09-16 15:30:25+00:00,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Two women from Santa Fe County — one in her 70s, the other in her 30s — were among 18 COVID-19 deaths reported by t… https://t.co/58QCfuco4u",0,0,0,0,,https://t.co/58QCfuco4u,https://twitter.com/i/web/status/1438525690324922368,,,,,,,,,,
21,1438525421532762114,1042538547788447744,en,2021-09-16 15:29:21+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@NewMexicoGOP Wear a mask, get vaxxed, and you might just be around for Yom Kippur, in 2022! #YeahScience ""Pictures… https://t.co/Ed4rnTlCcP",0,0,0,1,YeahScience,https://t.co/Ed4rnTlCcP,https://twitter.com/i/web/status/1438525421532762114,26598302,26598302.0,NewMexicoGOP,1.438289455891157e+18,,,,,,
22,1438525333322358788,423584984,en,2021-09-16 15:29:00+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Unvaccinated folks: never say please or thank you to me; never hold the door for me. Don't try to cover your selfis… https://t.co/yxf67ykXaW,0,0,0,1,,https://t.co/yxf67ykXaW,https://twitter.com/i/web/status/1438525333322358788,,,,,,,,,,
23,1438524753657176071,1430675758855475204,und,2021-09-16 15:26:42+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@gwschmedes https://t.co/6vE5Al6MWr
#covid 
#fivecs

https://t.co/TKRntjyd7J",0,0,1,1,covid;fivecs,https://t.co/6vE5Al6MWr;https://t.co/TKRntjyd7J,http://SaveABQ.com;https://www.youtube.com/watch?v=n5QRvcZxH20,799735015793979393,7.997350157939794e+17,gwschmedes,1.436376661423915e+18,,,,,,
24,1438524212403126274,172176000,es,2021-09-16 15:24:33+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@axoneta73 @SmytheHappy @JAZTLZ @DrChavezDiaz Yo estoy vacunada y me dió covid leve que no requería oxígeno ni hosp… https://t.co/F6gXfQtmix,0,0,0,3,,https://t.co/F6gXfQtmix,https://twitter.com/i/web/status/1438524212403126274,616721933;1238319065560539138;115193125;1116152499063279616,616721933.0,axoneta73,1.438327408659247e+18,,,,,,
25,1438524203246907401,1316082313336221696,en,2021-09-16 15:24:31+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@NICKIMINAJ @QueenMenage spreading misinformation about covid kills so of course we’re gonna be mad.,0,0,0,0,,,,35787166;803396936866918400,35787166.0,NICKIMINAJ,1.4382537841535386e+18,,,,,,
26,1438523748424957964,3324972288,en,2021-09-16 15:22:42+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@MoChatra Credit to them for working remotely. Very responsible in the COVID climate,0,0,0,1,,,,32512578,32512578.0,MoChatra,1.438522724029141e+18,,,,,,
27,1438523619588468740,240965750,und,2021-09-16 15:22:12+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://t.co/grBPcujY1O,0,0,0,0,,https://t.co/grBPcujY1O,https://www.theepochtimes.com/los-angeles-county-to-mandate-covid-19-vaccine-passports-officials_3999372.html?utm_source=sharemorningbriefnoe,,,,,,,,,,
28,1438523103961747457,240965750,und,2021-09-16 15:20:09+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://t.co/s5DRQxgZnf,0,0,0,0,,https://t.co/s5DRQxgZnf,https://www.theepochtimes.com/leaked-zoom-video-reveals-hospital-officials-discussing-covid-19-scare-tactics_3997611.html?utm_source=sharemorningbriefnoe,,,,,,,,,,
29,1438520914413457411,950281473575198722,en,2021-09-16 15:11:27+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",When your brother gets covid 😃,0,0,0,0,,,,,,,,,,,,,
